iter	Passed	Remaining
0	23	23405
1	33	16721
2	43	14361
3	54	13615
4	65	12981
5	74	12344
6	84	12010
7	93	11593
8	104	11454
9	113	11211
10	122	10986
11	131	10857
12	140	10664
13	149	10553
14	159	10449
15	168	10336
16	177	10237
17	186	10171
18	195	10101
19	204	10036
20	214	9988
21	222	9911
22	232	9870
23	240	9767
24	249	9748
25	258	9680
26	268	9659
27	278	9657
28	286	9600
29	297	9617
30	306	9572
31	316	9576
32	327	9596
33	337	9587
34	348	9613
35	374	10024
36	384	10016
37	395	10010
38	404	9971
39	413	9931
40	424	9924
41	433	9883
42	443	9875
43	452	9821
44	461	9791
45	470	9754
46	479	9720
47	488	9698
48	497	9648
49	507	9641
50	516	9619
51	540	9861
52	551	9856
53	561	9836
54	572	9828
55	583	9829
56	601	9954
57	610	9922
58	620	9903
59	629	9864
60	639	9849
61	649	9821
62	658	9792
63	667	9754
64	675	9711
65	683	9670
66	692	9642
67	703	9636
68	711	9593
69	721	9582
70	730	9555
71	739	9526
72	747	9487
73	755	9458
74	764	9434
75	773	9404
76	792	9504
77	802	9482
78	813	9480
79	828	9532
80	844	9577
81	855	9577
82	865	9564
83	874	9541
84	884	9524
85	893	9491
86	903	9480
87	912	9456
88	922	9443
89	950	9613
90	960	9591
91	970	9582
92	994	9699
93	1004	9680
94	1013	9652
95	1022	9626
96	1032	9609
97	1041	9583
98	1051	9570
99	1062	9564
100	1071	9533
101	1081	9517
102	1091	9503
103	1102	9497
104	1112	9481
105	1121	9458
106	1132	9452
107	1141	9431
108	1153	9429
109	1167	9445
110	1180	9457
111	1195	9481
112	1205	9466
113	1217	9458
114	1229	9461
115	1239	9446
116	1248	9423
117	1257	9397
118	1266	9376
119	1289	9457
120	1298	9434
121	1324	9535
122	1335	9520
123	1345	9506
124	1355	9486
125	1364	9465
126	1374	9448
127	1383	9422
128	1392	9405
129	1401	9380
130	1412	9370
131	1422	9356
132	1431	9330
133	1441	9313
134	1450	9291
135	1458	9267
136	1466	9235
137	1475	9218
138	1484	9195
139	1493	9175
140	1502	9155
141	1511	9134
142	1520	9115
143	1529	9090
144	1538	9073
145	1546	9048
146	1556	9032
147	1565	9011
148	1575	8995
149	1584	8978
150	1593	8959
151	1602	8941
152	1611	8921
153	1619	8898
154	1627	8873
155	1636	8854
156	1644	8830
157	1653	8813
158	1661	8788
159	1671	8774
160	1679	8753
161	1690	8745
162	1700	8730
163	1708	8709
164	1718	8697
165	1727	8677
166	1736	8663
167	1744	8641
168	1753	8623
169	1761	8599
170	1770	8581
171	1778	8559
172	1786	8540
173	1794	8519
174	1803	8500
175	1811	8479
176	1820	8463
177	1828	8443
178	1837	8429
179	1845	8409
180	1855	8396
181	1864	8379
182	1879	8389
183	1887	8372
184	1895	8352
185	1905	8337
186	1912	8315
187	1921	8299
188	1930	8283
189	1939	8268
190	1947	8247
191	1956	8235
192	1966	8220
193	1974	8201
194	1982	8184
195	1991	8169
196	2000	8154
197	2009	8138
198	2018	8123
199	2025	8103
200	2034	8089
201	2042	8067
202	2050	8049
203	2058	8030
204	2066	8015
205	2074	7996
206	2084	7983
207	2091	7962
208	2099	7945
209	2107	7927
210	2116	7913
211	2123	7891
212	2129	7869
213	2135	7845
214	2142	7822
215	2149	7801
216	2155	7779
217	2162	7758
218	2169	7736
219	2175	7714
220	2182	7694
221	2188	7671
222	2195	7650
223	2201	7628
224	2209	7609
225	2216	7590
226	2222	7569
227	2230	7553
228	2237	7533
229	2245	7516
230	2252	7497
231	2258	7477
232	2265	7458
233	2272	7438
234	2280	7423
235	2287	7403
236	2294	7385
237	2299	7363
238	2305	7342
239	2312	7324
240	2318	7302
241	2325	7284
242	2332	7265
243	2338	7245
244	2362	7279
245	2368	7259
246	2376	7243
247	2382	7223
248	2388	7204
249	2394	7184
250	2400	7163
251	2407	7146
252	2414	7127
253	2420	7108
254	2427	7091
255	2433	7072
256	2440	7055
257	2446	7035
258	2452	7015
259	2459	6999
260	2465	6982
261	2472	6965
262	2479	6947
263	2485	6929
264	2492	6912
265	2497	6892
266	2505	6877
267	2512	6861
268	2518	6843
269	2525	6826
270	2530	6807
271	2537	6791
272	2543	6774
273	2549	6756
274	2557	6741
275	2563	6724
276	2570	6709
277	2577	6693
278	2583	6676
279	2589	6659
280	2595	6641
281	2603	6629
282	2609	6612
283	2616	6596
284	2623	6580
285	2629	6564
286	2636	6549
287	2641	6531
288	2649	6517
289	2656	6503
